kp,pipeline_id,pipeline_code,pipeline_name,latitude,longitude,elevation,slope_deg,river_proximity_km,fault_distance_km,soil_type,soil_risk,flooding_index,earthquake_factor,erosion_factor,landslide_index,soil_corrosivity_index,hoop_stress_ratio,pipe_diameter_inches,operating_pressure_psig,pipe_material,design_wall_thickness_mm,operational_age_years,corrosion_rate_mm_per_year,thickness_loss_mm,remaining_wall_thickness_mm,material_loss_percent,degradation_condition,failure_probability,failure_probability_percent,risk_class,primary_hazard,failure_code,diagnostic_message,remediation_plan
0.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.5564,6.6552,70.0,0.74,0.05,11.44,Saturated Alluvial Silty Clay,2,0.98,0.116,0.533,0.078,0.97,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.415,1.66,20.54,7.5,Normal,0.3434,34.3,Medium,Hydrodynamic River Scour & Flood Inundation,ERR-GEO-HYDRO-01,"KP 0.0: High failure probability (34.3%) driven by severe River Niger flood inundation (Flood Index 0.98, 0.05 km proximity). Current scour threatens to un-seat buried pipe.",Perform Horizontal Directional Drilling (HDD) deep riverbed re-burial & install concrete articulated weighting mats.
1.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.56322,6.661114,57.0,1.6,1.0,10.29,Saturated Alluvial Silty Clay,2,0.825,0.116,0.311,0.096,0.97,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.447,1.79,20.41,8.1,Normal,0.2977,29.8,Medium,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 1.0: High external corrosion hazard (29.8%) resulting from saturated groundwater (Corrosivity Index 0.97) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
2.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.57004,6.667028,42.0,0.8,2.0,9.8,Corrosive Lowland Clay,1,0.573,0.094,0.174,0.068,0.788,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.36,1.44,20.76,6.5,Normal,0.2153,21.5,Medium,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 2.0: High external corrosion hazard (21.5%) resulting from saturated groundwater (Corrosivity Index 0.788) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
3.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.57686,6.672941,43.0,0.11,3.0,8.62,Corrosive Lowland Clay,1,0.484,0.131,0.119,0.043,0.778,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.35,1.4,20.8,6.3,Normal,0.194,19.4,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 3.0: High external corrosion hazard (19.4%) resulting from saturated groundwater (Corrosivity Index 0.778) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
4.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.58368,6.678855,40.0,0.06,4.0,7.71,Corrosive Lowland Clay,1,0.462,0.117,0.126,0.051,0.771,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.335,1.34,20.86,6.0,Normal,0.1894,18.9,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 4.0: High external corrosion hazard (18.9%) resulting from saturated groundwater (Corrosivity Index 0.771) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
5.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.590543,6.684718,44.0,1.72,5.0,6.89,Corrosive Lowland Clay,1,0.397,0.121,0.179,0.131,0.757,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.36,1.44,20.76,6.5,Normal,0.1942,19.4,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 5.0: High external corrosion hazard (19.4%) resulting from saturated groundwater (Corrosivity Index 0.757) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
6.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.597417,6.690568,70.0,0.29,6.0,5.82,Corrosive Lowland Clay,1,0.346,0.178,0.1,0.06,0.708,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.329,1.32,20.88,5.9,Normal,0.1695,17.0,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 6.0: High external corrosion hazard (17.0%) resulting from saturated groundwater (Corrosivity Index 0.708) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
7.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.604292,6.696418,39.0,1.78,7.0,4.82,Corrosive Lowland Clay,1,0.402,0.178,0.14,0.104,0.757,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.348,1.39,20.81,6.3,Normal,0.1947,19.5,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 7.0: High external corrosion hazard (19.5%) resulting from saturated groundwater (Corrosivity Index 0.757) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
8.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.611166,6.702269,39.0,0.34,8.0,4.35,Corrosive Lowland Clay,1,0.355,0.237,0.114,0.075,0.754,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.362,1.45,20.75,6.5,Normal,0.1867,18.7,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 8.0: High external corrosion hazard (18.7%) resulting from saturated groundwater (Corrosivity Index 0.754) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
9.0,1,AKK-SEC1,Ajaokuta–Kaduna–Kano (AKK) Gas Pipeline — Kogi Corridor,7.61804,6.708119,45.0,0.46,9.0,3.72,Corrosive Lowland Clay,1,0.376,0.212,0.066,0.047,0.742,0.412,40.0,1440.0,API 5L X80,22.2,4.0,0.335,1.34,20.86,6.0,Normal,0.1774,17.7,Low,Corrosive Soil & Anoxic Groundwater Degradation,ERR-GEO-CORR-04,KP 9.0: High external corrosion hazard (17.7%) resulting from saturated groundwater (Corrosivity Index 0.742) and anaerobic clay soil. Coating breakdown risk is high.,"Upgrade Impressed Current Cathodic Protection (ICCP), apply 3LPE coating repair, and conduct smart-pig inline inspection."
